Bestand;Pad;Categorie;Subcategorie;AantalTekens;AantalRegels;Status;Prioriteit;Notities
field_effect_objects.h;src\data\field_effects\field_effect_objects.h;Overig;;41601;1378;Onvertaald;Hoog;
scripts.inc;data\maps\SlateportCity\scripts.inc;Maps;SlateportCity;41592;1412;Onvertaald;Hoog;
back_pic_coordinates.h;src\data\pokemon_graphics\back_pic_coordinates.h;Pokemon;;40880;499;Onvertaald;Hoog;
front_pic_coordinates.h;src\data\pokemon_graphics\front_pic_coordinates.h;Pokemon;;40879;497;Onvertaald;Hoog;
scripts.inc;data\maps\RustboroCity\scripts.inc;Maps;RustboroCity;40343;1310;Vertaald;Hoog;
header.h;src\data\decoration\header.h;Overig;;39670;1454;Onvertaald;Hoog;
scripts.inc;data\maps\MauvilleCity_GameCorner\scripts.inc;Maps;MauvilleCity;39547;1102;Onvertaald;Hoog;
item_descriptions.h;src\data\text\item_descriptions.h;Items;;37899;1696;Onvertaald;Hoog;
scripts.inc;data\maps\LilycoveCity_ContestLobby\scripts.inc;Maps;LilycoveCity;37807;1086;Onvertaald;Hoog;
scripts.inc;data\maps\Route110_TrickHousePuzzle5\scripts.inc;Maps;Route110;36888;1028;Onvertaald;Hoog;
scripts.inc;data\maps\BattleFrontier_BattlePyramidLobby\scripts.inc;Battle;;35697;906;Onvertaald;Hoog;
mauville_man.inc;data\scripts\mauville_man.inc;Overig;;34625;976;Onvertaald;Hoog;
party_menu.h;src\data\party_menu.h;UI;;34244;1134;Onvertaald;Hoog;
scripts.inc;data\maps\BattleFrontier_Lounge9\scripts.inc;Battle;;33994;1288;Onvertaald;Hoog;
pokedex_orders.h;src\data\pokemon\pokedex_orders.h;Pokemon;;33871;1292;Onvertaald;Hoog;
contest_ai_scripts.s;data\contest_ai_scripts.s;Overig;;33294;920;Onvertaald;Hoog;
scripts.inc;data\maps\LilycoveCity_PokemonTrainerFanClub\scripts.inc;Pokemon;;33157;820;Onvertaald;Hoog;
scripts.inc;data\maps\Route104\scripts.inc;Maps;Route104;32344;1188;Vertaald;Hoog;
berry_tree_graphics_tables.h;src\data\object_events\berry_tree_graphics_tables.h;Events;;32118;565;Onvertaald;Hoog;
scripts.inc;data\maps\LittlerootTown\scripts.inc;Maps;LittlerootTown;31739;1074;Vertaald;Hoog;
scripts.inc;data\maps\Route110_TrickHouseEntrance\scripts.inc;Maps;Route110;31411;826;Onvertaald;Hoog;
battle_pyramid_level_50_wild_mons.h;src\data\battle_frontier\battle_pyramid_level_50_wild_mons.h;Battle;;31397;1063;Onvertaald;Hoog;
battle_pyramid_open_level_wild_mons.h;src\data\battle_frontier\battle_pyramid_open_level_wild_mons.h;Battle;;31356;1063;Onvertaald;Hoog;
shiny_palette_table.h;src\data\pokemon_graphics\shiny_palette_table.h;Pokemon;;31219;525;Onvertaald;Hoog;
scripts.inc;data\maps\BattleFrontier_ExchangeServiceCorner\scripts.inc;Battle;;30889;742;Onvertaald;Hoog;
still_front_pic_table.h;src\data\pokemon_graphics\still_front_pic_table.h;Pokemon;;30779;496;Onvertaald;Hoog;
trade.h;src\data\trade.h;Overig;;30732;1209;Onvertaald;Hoog;
scripts.inc;data\maps\BattleFrontier_BattlePikeRoomNormal\scripts.inc;Battle;;30335;851;Onvertaald;Hoog;
script_menu.h;src\data\script_menu.h;UI;;30107;1035;Onvertaald;Hoog;
match_call_messages.h;src\data\text\match_call_messages.h;UI;;29791;471;Onvertaald;Hoog;
item_icon_table.h;src\data\item_icon_table.h;Items;;29660;428;Onvertaald;Hoog;
scripts.inc;data\maps\BattleFrontier_BattleFactoryPreBattleRoom\scripts.inc;Battle;;29582;647;Onvertaald;Hoog;
lilycove_lady.inc;data\scripts\lilycove_lady.inc;Overig;;29377;790;Onvertaald;Hoog;
scripts.inc;data\maps\Route110\scripts.inc;Maps;Route110;29245;999;Onvertaald;Hoog;
scripts.inc;data\maps\RustboroCity_DevonCorp_2F\scripts.inc;Maps;RustboroCity;28414;718;Vertaald;Hoog;
scripts.inc;data\maps\BattleFrontier_BattleDomeLobby\scripts.inc;Battle;;27322;684;Onvertaald;Hoog;
scripts.inc;data\maps\BattleFrontier_BattleArenaBattleRoom\scripts.inc;Battle;;27051;639;Onvertaald;Hoog;
scripts.inc;data\maps\BattleFrontier_BattlePalaceLobby\scripts.inc;Battle;;26960;651;Onvertaald;Hoog;
region_map_entries.h;src\data\region_map\region_map_entries.h;Overig;;25979;421;Onvertaald;Hoog;
front_pic_table.h;src\data\pokemon_graphics\front_pic_table.h;Pokemon;;25805;494;Onvertaald;Hoog;
scripts.inc;data\maps\LilycoveCity\scripts.inc;Maps;LilycoveCity;25732;771;Onvertaald;Hoog;
pokedex_area_glow.h;src\data\pokedex_area_glow.h;Pokedex;;25447;315;Onvertaald;Hoog;
back_pic_table.h;src\data\pokemon_graphics\back_pic_table.h;Pokemon;;25319;493;Onvertaald;Hoog;
headers.h;src\data\tilesets\headers.h;Overig;;25190;851;Onvertaald;Hoog;
scripts.inc;data\maps\BattleFrontier_BattlePalaceBattleRoom\scripts.inc;Battle;;24019;581;Onvertaald;Hoog;
scripts.inc;data\maps\BattleFrontier_BattlePyramidFloor\scripts.inc;Battle;;23965;731;Onvertaald;Hoog;
secret_base.inc;data\scripts\secret_base.inc;Overig;;23927;738;Onvertaald;Hoog;
palette_table.h;src\data\pokemon_graphics\palette_table.h;Pokemon;;23793;494;Onvertaald;Hoog;
berry_blender.inc;data\scripts\berry_blender.inc;Overig;;23477;710;Onvertaald;Hoog;
scripts.inc;data\maps\Route111\scripts.inc;Maps;Route111;23333;731;Onvertaald;Hoog;
contest_text_tables.h;src\data\contest_text_tables.h;UI;;23016;439;Onvertaald;Hoog;
scripts.inc;data\maps\BattleFrontier_BattleTowerBattleRoom\scripts.inc;Battle;;22718;567;Onvertaald;Hoog;
experience_tables.h;src\data\pokemon\experience_tables.h;Pokemon;;22609;844;Onvertaald;Hoog;
scripts.inc;data\maps\MossdeepCity_Gym\scripts.inc;Maps;MossdeepCity;22577;653;Onvertaald;Hoog;
scripts.inc;data\maps\BattleFrontier_BattleFactoryLobby\scripts.inc;Battle;;22267;554;Onvertaald;Hoog;
footprint_table.h;src\data\pokemon_graphics\footprint_table.h;Pokemon;;22245;463;Onvertaald;Hoog;
scripts.inc;data\maps\PetalburgWoods\scripts.inc;Maps;PetalburgWoods;22163;738;Vertaald;Hoog;
scripts.inc;data\maps\BattleFrontier_BattleArenaLobby\scripts.inc;Battle;;22013;577;Onvertaald;Hoog;
contest_strings.inc;data\text\contest_strings.inc;UI;;21659;772;Onvertaald;Hoog;
scripts.inc;data\maps\BattleFrontier_BattleTowerMultiBattleRoom\scripts.inc;Battle;;21639;507;Onvertaald;Hoog;
scripts.inc;data\maps\MtChimney\scripts.inc;Maps;MtChimney;21590;846;Onvertaald;Hoog;
easy_chat_group_status.h;src\data\easy_chat\easy_chat_group_status.h;Overig;;21528;766;Onvertaald;Hoog;
trainers.h;src\data\graphics\trainers.h;Trainers;;21510;297;Onvertaald;Hoog;
players_house.inc;data\scripts\players_house.inc;Overig;;21508;725;Onvertaald;Hoog;
scripts.inc;data\maps\DewfordTown\scripts.inc;Maps;DewfordTown;21350;826;Vertaald;Hoog;
specials.inc;data\specials.inc;Overig;;21254;573;Onvertaald;Hoog;
wallpapers.h;src\data\wallpapers.h;Overig;;21006;393;Onvertaald;Hoog;
scripts.inc;data\maps\MauvilleCity\scripts.inc;Maps;MauvilleCity;20172;694;Onvertaald;Hoog;
scripts.inc;data\maps\Route119\scripts.inc;Maps;Route119;20016;680;Onvertaald;Hoog;
scripts.inc;data\maps\BattleFrontier_Lounge7\scripts.inc;Battle;;19848;571;Onvertaald;Hoog;
libgcnmultiboot.s;src\libgcnmultiboot.s;Overig;;19829;641;Onvertaald;Hoog;
front_pic_tables.h;src\data\trainer_graphics\front_pic_tables.h;Trainers;;19791;303;Onvertaald;Hoog;
scripts.inc;data\maps\MtPyre_Summit\scripts.inc;Maps;MtPyre;19731;626;Onvertaald;Hoog;
scripts.inc;data\maps\LilycoveCity_Harbor\scripts.inc;Maps;LilycoveCity;19609;592;Onvertaald;Hoog;
abnormal_weather.inc;data\scripts\abnormal_weather.inc;Overig;;19105;425;Onvertaald;Hoog;
scripts.inc;data\maps\BattleFrontier_ReceptionGate\scripts.inc;Battle;;18705;505;Onvertaald;Hoog;
scripts.inc;data\maps\PetalburgCity\scripts.inc;Maps;PetalburgCity;18627;813;Vertaald;Hoog;
scripts.inc;data\maps\SlateportCity_Harbor\scripts.inc;Maps;SlateportCity;18613;546;Onvertaald;Hoog;
scripts.inc;data\maps\MossdeepCity_SpaceCenter_2F\scripts.inc;Maps;MossdeepCity;18455;519;Onvertaald;Hoog;
scripts.inc;data\maps\BattleFrontier_OutsideWest\scripts.inc;Battle;;18223;528;Onvertaald;Hoog;
item_effects.h;src\data\pokemon\item_effects.h;Pokemon;;17973;537;Onvertaald;Hoog;
movement_type_func_tables.h;src\data\object_events\movement_type_func_tables.h;Moves;;17907;458;Onvertaald;Hoog;
species_names.h;src\data\text\species_names.h;Pokemon;;17884;464;Onvertaald;Hoog;
scripts.inc;data\maps\BattleFrontier_Lounge3\scripts.inc;Battle;;17626;468;Onvertaald;Hoog;
scripts.inc;data\maps\Route110_TrickHousePuzzle3\scripts.inc;Maps;Route110;17593;345;Onvertaald;Hoog;
follower_messages.h;src\data\text\follower_messages.h;UI;;17356;301;Onvertaald;Hoog;
scripts.inc;data\maps\LilycoveCity_ContestHall\scripts.inc;Maps;LilycoveCity;17039;538;Onvertaald;Hoog;
battle_terrain.h;src\data\graphics\battle_terrain.h;Battle;;17029;204;Onvertaald;Hoog;
scripts.inc;data\maps\EverGrandeCity_ChampionsRoom\scripts.inc;Maps;EverGrandeCity;16849;479;Onvertaald;Hoog;
move_tutors.inc;data\scripts\move_tutors.inc;Moves;;16774;444;Onvertaald;Hoog;
scripts.inc;data\maps\BattleFrontier_BattlePikeLobby\scripts.inc;Battle;;16664;436;Onvertaald;Hoog;
scripts.inc;data\maps\MossdeepCity_SpaceCenter_1F\scripts.inc;Maps;MossdeepCity;16458;432;Onvertaald;Hoog;
scripts.inc;data\maps\ContestHall\scripts.inc;Maps;ContestHall;16340;450;Onvertaald;Hoog;
scripts.inc;data\maps\BattleFrontier_BattleDomePreBattleRoom\scripts.inc;Battle;;16096;393;Onvertaald;Hoog;
battle_tent.inc;data\text\battle_tent.inc;Battle;;16043;433;Onvertaald;Hoog;
metatiles.h;src\data\tilesets\metatiles.h;Overig;;15950;209;Onvertaald;Hoog;
scripts.inc;data\maps\TrainerHill_Entrance\scripts.inc;Trainers;;15908;488;Onvertaald;Hoog;
scripts.inc;data\maps\Route109\scripts.inc;Maps;Route109;15795;573;Onvertaald;Hoog;
new_game.inc;data\scripts\new_game.inc;Overig;;15559;276;Onvertaald;Hoog;
scripts.inc;data\maps\DewfordTown_Gym\scripts.inc;Maps;DewfordTown;15463;463;Vertaald;Hoog;
scripts.inc;data\maps\LavaridgeTown_Gym_1F\scripts.inc;Maps;LavaridgeTown;15438;404;Onvertaald;Hoog;
scripts.inc;data\maps\Route124_DivingTreasureHuntersHouse\scripts.inc;Maps;Route124;15431;348;Onvertaald;Hoog;
cable_club.inc;data\text\cable_club.inc;UI;;15359;487;Onvertaald;Hoog;
unknown_table.h;src\data\pokemon_graphics\unknown_table.h;Pokemon;;15326;444;Onvertaald;Hoog;
scripts.inc;data\maps\LittlerootTown_BrendansHouse_1F\scripts.inc;Maps;LittlerootTown;15220;454;Vertaald;Hoog;
scripts.inc;data\maps\Route116\scripts.inc;Maps;Route116;15181;484;Onvertaald;Hoog;
scripts.inc;data\maps\SlateportCity_PokemonFanClub\scripts.inc;Pokemon;;15110;400;Onvertaald;Hoog;
scripts.inc;data\maps\MossdeepCity\scripts.inc;Maps;MossdeepCity;15088;577;Onvertaald;Hoog;
scripts.inc;data\maps\Route120\scripts.inc;Maps;Route120;14950;443;Onvertaald;Hoog;
scripts.inc;data\maps\VerdanturfTown_BattleTentLobby\scripts.inc;Battle;;14876;384;Onvertaald;Hoog;
evolution.h;src\data\pokemon\evolution.h;Pokemon;;14815;220;Onvertaald;Hoog;
scripts.inc;data\maps\SlateportCity_OceanicMuseum_2F\scripts.inc;Maps;SlateportCity;14728;441;Onvertaald;Hoog;
scripts.inc;data\maps\MauvilleCity_Gym\scripts.inc;Maps;MauvilleCity;14674;421;Onvertaald;Hoog;
easy_chat_group_actions.h;src\data\easy_chat\easy_chat_group_actions.h;Overig;;14624;549;Onvertaald;Hoog;
scripts.inc;data\maps\BattleFrontier_OutsideEast\scripts.inc;Battle;;14605;440;Onvertaald;Hoog;
tiles.h;src\data\decoration\tiles.h;Overig;;14589;643;Onvertaald;Hoog;
scripts.inc;data\maps\Route113_GlassWorkshop\scripts.inc;Maps;Route113;14577;382;Onvertaald;Hoog;
scripts.inc;data\maps\BattleFrontier_ScottsHouse\scripts.inc;Battle;;14474;349;Onvertaald;Hoog;
scripts.inc;data\maps\BattleFrontier_Lounge2\scripts.inc;Battle;;14473;369;Onvertaald;Hoog;
scripts.inc;data\maps\RusturfTunnel\scripts.inc;Maps;RusturfTunnel;14422;536;Onvertaald;Hoog;
move_names.h;src\data\text\move_names.h;Moves;;14303;371;Onvertaald;Hoog;
scripts.inc;data\maps\LavaridgeTown\scripts.inc;Maps;LavaridgeTown;14286;448;Onvertaald;Hoog;
scripts.inc;data\maps\DewfordTown_Hall\scripts.inc;Maps;DewfordTown;14230;455;Vertaald;Hoog;
scripts.inc;data\maps\Route110_TrickHousePuzzle7\scripts.inc;Maps;Route110;14173;392;Onvertaald;Hoog;
follower.inc;data\scripts\follower.inc;Overig;;14005;663;Onvertaald;Hoog;
day_care.inc;data\scripts\day_care.inc;Overig;;13983;419;Onvertaald;Hoog;
scripts.inc;data\maps\BattleFrontier_BattlePikeThreePathRoom\scripts.inc;Battle;;13887;369;Onvertaald;Hoog;
easy_chat_group_people.h;src\data\easy_chat\easy_chat_group_people.h;Overig;;13884;528;Onvertaald;Hoog;
scripts.inc;data\maps\BattleFrontier_BattleFactoryBattleRoom\scripts.inc;Battle;;13876;321;Onvertaald;Hoog;
field_effect_scripts.s;data\field_effect_scripts.s;Overig;;13803;360;Onvertaald;Hoog;
description.h;src\data\decoration\description.h;Overig;;13544;573;Onvertaald;Hoog;
scripts.inc;data\maps\SlateportCity_OceanicMuseum_1F\scripts.inc;Maps;SlateportCity;13505;380;Onvertaald;Hoog;
abilities.h;src\data\text\abilities.h;Abilities;;13499;255;Onvertaald;Hoog;
scripts.inc;data\maps\LittlerootTown_MaysHouse_1F\scripts.inc;Maps;LittlerootTown;13455;419;Vertaald;Hoog;
scripts.inc;data\maps\LittlerootTown_MaysHouse_2F\scripts.inc;Maps;LittlerootTown;13440;421;Vertaald;Hoog;
front_pic_anims.h;src\data\trainer_graphics\front_pic_anims.h;Trainers;;13408;483;Onvertaald;Hoog;
scripts.inc;data\maps\Route110_TrickHouseEnd\scripts.inc;Maps;Route110;13343;358;Onvertaald;Hoog;
script_cmd_table.inc;data\script_cmd_table.inc;Overig;;13319;242;Onvertaald;Hoog;
scripts.inc;data\maps\BattleFrontier_BattlePyramidTop\scripts.inc;Battle;;13253;334;Onvertaald;Hoog;
scripts.inc;data\maps\FallarborTown_BattleTentLobby\scripts.inc;Battle;;13177;349;Onvertaald;Hoog;
easy_chat_group_conditions.h;src\data\easy_chat\easy_chat_group_conditions.h;Overig;;13144;486;Onvertaald;Hoog;
easy_chat_group_feelings.h;src\data\easy_chat\easy_chat_group_feelings.h;Overig;;13082;486;Onvertaald;Hoog;
scripts.inc;data\maps\Route119_WeatherInstitute_2F\scripts.inc;Maps;Route119;13027;348;Onvertaald;Hoog;
interview.inc;data\scripts\interview.inc;Overig;;12961;320;Onvertaald;Hoog;
scripts.inc;data\maps\LilycoveCity_LilycoveMuseum_2F\scripts.inc;Maps;LilycoveCity;12926;330;Onvertaald;Hoog;
easy_chat_group_endings.h;src\data\easy_chat\easy_chat_group_endings.h;Overig;;12657;486;Onvertaald;Hoog;
scripts.inc;data\maps\SootopolisCity_Gym_1F\scripts.inc;Maps;SootopolisCity;12491;340;Onvertaald;Hoog;
wonder_trade_OT_names.h;src\data\text\wonder_trade_OT_names.h;UI;;12239;507;Onvertaald;Hoog;
scripts.inc;data\maps\RustboroCity_PokemonSchool\scripts.inc;Pokemon;;12134;349;Onvertaald;Hoog;
item_ball_scripts.inc;data\scripts\item_ball_scripts.inc;Items;;12047;664;Onvertaald;Hoog;
scripts.inc;data\maps\OldaleTown\scripts.inc;Maps;OldaleTown;12020;467;Vertaald;Hoog;
easy_chat_group_battle.h;src\data\easy_chat\easy_chat_group_battle.h;Battle;;12015;444;Onvertaald;Hoog;
scripts.inc;data\maps\RustboroCity_DevonCorp_3F\scripts.inc;Maps;RustboroCity;11904;343;Vertaald;Hoog;
easy_chat_group_voices.h;src\data\easy_chat\easy_chat_group_voices.h;Overig;;11825;444;Onvertaald;Hoog;
battle.h;src\data\bard_music\battle.h;Battle;;11773;510;Onvertaald;Hoog;
scripts.inc;data\maps\MauvilleCity_BikeShop\scripts.inc;Maps;MauvilleCity;11626;330;Onvertaald;Hoog;
scripts.inc;data\maps\SlateportCity_BattleTentLobby\scripts.inc;Battle;;11538;309;Onvertaald;Hoog;
scripts.inc;data\maps\Route103\scripts.inc;Maps;Route103;11512;358;Vertaald;Hoog;
easy_chat_group_speech.h;src\data\easy_chat\easy_chat_group_speech.h;Overig;;11343;423;Onvertaald;Hoog;
scripts.inc;data\maps\BattleFrontier_PokemonCenter_1F\scripts.inc;Pokemon;;11334;290;Onvertaald;Hoog;
scripts.inc;data\maps\NavelRock_Unown_Room_1\scripts.inc;Maps;NavelRock;11330;527;Vertaald;Hoog;Dit is de ending van de vertaling :')
scripts.inc;data\maps\NewMauville_Inside\scripts.inc;Maps;NewMauville;11302;273;Onvertaald;Hoog;
scripts.inc;data\maps\FortreeCity_Gym\scripts.inc;Maps;FortreeCity;10961;322;Onvertaald;Hoog;
gabby_and_ty.inc;data\scripts\gabby_and_ty.inc;Overig;;10939;311;Onvertaald;Hoog;
trainer_class_lookups.h;src\data\pokemon\trainer_class_lookups.h;Pokemon;;10846;187;Onvertaald;Hoog;
field_move_scripts.inc;data\scripts\field_move_scripts.inc;Moves;;10761;436;Onvertaald;Hoog;
scripts.inc;data\maps\RustboroCity_Gym\scripts.inc;Maps;RustboroCity;10745;304;Vertaald;Hoog;
scripts.inc;data\maps\SSTidalCorridor\scripts.inc;Maps;SSTidalCorridor;10556;340;Onvertaald;Hoog;
scripts.inc;data\maps\LilycoveCity_LilycoveMuseum_1F\scripts.inc;Maps;LilycoveCity;10397;294;Onvertaald;Hoog;
scripts.inc;data\maps\LilycoveCity_DepartmentStore_1F\scripts.inc;Maps;LilycoveCity;10321;295;Onvertaald;Hoog;
easy_chat_group_hobbies.h;src\data\easy_chat\easy_chat_group_hobbies.h;Overig;;10256;381;Onvertaald;Hoog;
scripts.inc;data\maps\SlateportCity_BattleTentCorridor\scripts.inc;Battle;;10186;277;Onvertaald;Hoog;
scripts.inc;data\maps\LittlerootTown_BrendansHouse_2F\scripts.inc;Maps;LittlerootTown;10171;322;Vertaald;Hoog;
gift_ribbon_descriptions.h;src\data\text\gift_ribbon_descriptions.h;UI;;10171;115;Onvertaald;Hoog;
scripts.inc;data\maps\SeafloorCavern_Room9\scripts.inc;Maps;SeafloorCavern;10153;326;Onvertaald;Hoog;
lilycove_lady.h;src\data\lilycove_lady.h;Overig;;9811;468;Onvertaald;Middel;
scripts.inc;data\maps\BattleFrontier_Lounge1\scripts.inc;Battle;;9707;258;Onvertaald;Middel;
battle_pike.inc;data\scripts\battle_pike.inc;Battle;;9618;245;Onvertaald;Middel;
scripts.inc;data\maps\MeteorFalls_1F_1R\scripts.inc;Maps;MeteorFalls;9240;317;Onvertaald;Middel;
safari_zone.inc;data\scripts\safari_zone.inc;Overig;;9210;294;Onvertaald;Middel;
scripts.inc;data\maps\FallarborTown_BattleTentBattleRoom\scripts.inc;Battle;;9063;242;Onvertaald;Middel;
debug.inc;data\scripts\debug.inc;Overig;;9050;300;Onvertaald;Middel;
scripts.inc;data\maps\SootopolisCity_MysteryEventsHouse_1F\scripts.inc;Maps;SootopolisCity;8987;230;Onvertaald;Middel;
battle_dome.inc;data\text\battle_dome.inc;Battle;;8981;341;Onvertaald;Middel;
scripts.inc;data\maps\Route117\scripts.inc;Maps;Route117;8875;257;Onvertaald;Middel;
scripts.inc;data\maps\Route128\scripts.inc;Maps;Route128;8865;308;Onvertaald;Middel;
surfable_pokemon.h;src\data\object_events\surfable\surfable_pokemon.h;Pokemon;;8834;469;Onvertaald;Middel;
scripts.inc;data\maps\Route118\scripts.inc;Maps;Route118;8793;303;Onvertaald;Middel;
secret_base_trainers.inc;data\text\secret_base_trainers.inc;Trainers;;8791;286;Onvertaald;Middel;
scripts.inc;data\maps\MagmaHideout_3F_1R_Entei\scripts.inc;Maps;MagmaHideout;8685;315;Onvertaald;Middel;
easy_chat_group_lifestyle.h;src\data\easy_chat\easy_chat_group_lifestyle.h;Overig;;8606;318;Onvertaald;Middel;
lifestyle.h;src\data\bard_music\lifestyle.h;Overig;;8529;366;Onvertaald;Middel;
berries.inc;data\text\berries.inc;UI;;8520;239;Onvertaald;Middel;
easy_chat_group_time.h;src\data\easy_chat\easy_chat_group_time.h;Overig;;8518;318;Onvertaald;Middel;
time.h;src\data\bard_music\time.h;Overig;;8433;366;Onvertaald;Middel;
scripts.inc;data\maps\JaggedPass\scripts.inc;Maps;JaggedPass;8367;270;Onvertaald;Middel;
apprentice.inc;data\scripts\apprentice.inc;Overig;;8208;249;Onvertaald;Middel;
scripts.inc;data\maps\LilycoveCity_DepartmentStoreRooftop\scripts.inc;Maps;LilycoveCity;8174;220;Onvertaald;Middel;
decorations.h;src\data\graphics\decorations.h;Overig;;8160;125;Onvertaald;Middel;
easy_chat_group_greetings.h;src\data\easy_chat\easy_chat_group_greetings.h;Overig;;8111;297;Onvertaald;Middel;
scripts.inc;data\maps\MossdeepCity_StevensHouse\scripts.inc;Maps;MossdeepCity;8021;232;Onvertaald;Middel;
greetings.h;src\data\bard_music\greetings.h;Overig;;7936;342;Onvertaald;Middel;
move_tutors.inc;data\text\move_tutors.inc;Moves;;7920;241;Onvertaald;Middel;
easy_chat_group_misc.h;src\data\easy_chat\easy_chat_group_misc.h;Overig;;7883;297;Onvertaald;Middel;
misc.h;src\data\bard_music\misc.h;Overig;;7881;342;Onvertaald;Middel;
scripts.inc;data\maps\OldaleTown_PokemonCenter_3F\scripts.inc;Pokemon;;7555;230;Onvertaald;Middel;
obtain_item.inc;data\scripts\obtain_item.inc;Items;;7530;255;Onvertaald;Middel;
scripts.inc;data\maps\SootopolisCity_LotadAndSeedotHouse\scripts.inc;Maps;SootopolisCity;7330;205;Onvertaald;Middel;
berries.h;src\data\graphics\berries.h;Overig;;7250;95;Onvertaald;Middel;
scripts.inc;data\maps\VictoryRoad_1F\scripts.inc;Maps;VictoryRoad;7238;222;Onvertaald;Middel;
icon.h;src\data\decoration\icon.h;Overig;;7140;124;Onvertaald;Middel;
scripts.inc;data\maps\Route101\scripts.inc;Maps;Route101;7136;306;Vertaald;Middel;
scripts.inc;data\maps\AquaHideout_UnusedRubyMap1\scripts.inc;Maps;AquaHideout;7061;202;Onvertaald;Middel;
easy_chat_group_adjectives.h;src\data\easy_chat\easy_chat_group_adjectives.h;Overig;;6999;255;Onvertaald;Middel;
scripts.inc;data\maps\MagmaHideout_4F\scripts.inc;Maps;MagmaHideout;6985;234;Onvertaald;Middel;
scripts.inc;data\maps\VerdanturfTown_BattleTentBattleRoom\scripts.inc;Battle;;6981;179;Onvertaald;Middel;
scripts.inc;data\maps\Route114\scripts.inc;Maps;Route114;6863;204;Onvertaald;Middel;
adjectives.h;src\data\bard_music\adjectives.h;Overig;;6851;294;Onvertaald;Middel;
scripts.inc;data\maps\MeteorFalls_1F_2R\scripts.inc;Maps;MeteorFalls;6842;185;Onvertaald;Middel;
